Source,Target
AT5G47220,AT1G32630
AT5G47220,AT1G08840
AT5G47220,AT1G14030
AT5G47220,AT1G16730
AT5G47220,AT1G21610
AT5G47220,AT1G31835
AT5G47220,AT1G33415
AT5G47220,AT1G52510
AT5G47220,AT1G55810
AT5G47220,AT1G60080
AT5G47220,AT1G61820
AT5G47220,AT1G75340
AT5G47220,AT2G03050
AT5G47220,AT2G24500
AT5G47220,AT2G32090
AT5G47220,AT2G35930
AT5G47220,AT2G41700
AT5G47220,AT2G46910
AT5G47220,AT3G01910
AT5G47220,AT3G12980
AT5G47220,AT3G22100
AT5G47220,AT3G23620
AT5G47220,AT3G45880
AT5G47220,AT3G49410
AT5G47220,AT3G62800
AT5G47220,AT3G63400
AT5G47220,AT4G00080
AT5G47220,AT4G00895
AT5G47220,AT4G08580
AT5G47220,AT4G16710
AT5G47220,AT4G17760
AT5G47220,AT4G21150
AT5G47220,AT4G24250
AT5G47220,AT4G27490
AT5G47220,AT4G28800
AT5G47220,AT4G29380
AT5G47220,AT4G31150
AT5G47220,AT4G33467
AT5G47220,AT5G01175
AT5G47220,AT5G02820
AT5G47220,AT5G05600
AT5G47220,AT5G07890
AT5G47220,AT5G43870
AT5G47220,AT5G48240
AT5G47220,AT5G53860
AT5G47220,AT5G59070
AT2G20180,AT1G03630
AT2G20180,AT1G03180
AT2G20180,AT1G06135
AT2G20180,AT1G08170
AT2G20180,AT3G46630
AT2G20180,AT3G01510
AT2G20180,AT1G15150
AT2G20180,AT1G15170
AT2G20180,AT1G15180
AT2G20180,AT1G16540
AT2G20180,AT1G19000
AT2G20180,AT5G61830
AT2G20180,AT1G19660
AT2G20180,AT1G20515
AT2G20180,AT1G21440
AT2G20180,AT1G22180
AT2G20180,AT1G22750
AT2G20180,AT1G24580
AT2G20180,AT1G30550
AT2G20180,AT1G31420
AT2G20180,AT1G03030
AT2G20180,AT3G23230
AT2G20180,AT1G52220
AT2G20180,AT1G54500
AT2G20180,AT2G30570
AT2G20180,AT5G02880
AT2G20180,AT1G60600
AT2G20180,AT1G69800
AT2G20180,AT1G70580
AT2G20180,AT1G72100
AT2G20180,AT1G72820
AT2G20180,AT1G73120
AT2G20180,AT1G74320
AT2G20180,AT5G04460
AT2G20180,AT1G77000
AT2G20180,AT1G78510
AT2G20180,AT1G78900
AT2G20180,AT5G11090
AT2G20180,AT2G34620
AT2G20180,AT2G36270
AT2G20180,AT2G36895
AT2G20180,AT2G37480
AT2G20180,AT2G37750
AT2G20180,AT2G43140
AT2G20180,AT2G43480
AT2G20180,AT2G46700
AT2G20180,AT3G50240
AT2G20180,AT3G01990
AT2G20180,AT3G04210
AT2G20180,AT3G63060
AT2G20180,AT3G07390
AT2G20180,AT4G31115
AT2G20180,AT3G12320
AT2G20180,AT3G13980
AT2G20180,AT3G14330
AT2G20180,AT3G21870
AT2G20180,AT3G21055
AT2G20180,AT3G29575
AT2G20180,AT3G50060
AT2G20180,AT3G51830
AT2G20180,AT3G53180
AT2G20180,AT3G54890
AT2G20180,AT3G56010
AT2G20180,AT3G59820
AT2G20180,AT5G48610
AT2G20180,AT4G00490
AT2G20180,AT4G00850
AT2G20180,AT4G01883
AT2G20180,AT5G46870
AT2G20180,AT4G16160
AT2G20180,AT5G17300
AT2G20180,AT1G23310
AT2G20180,AT4G17560
AT2G20180,AT4G18520
AT2G20180,AT4G24100
AT2G20180,AT4G25130
AT2G20180,AT4G25450
AT2G20180,AT5G64710
AT2G20180,AT4G25580
AT2G20180,AT4G28290
AT2G20180,AT5G23120
AT2G20180,AT4G38950
AT2G20180,AT4G40010
AT2G20180,AT5G01530
AT2G20180,AT5G04250
AT2G20180,AT3G19800
AT2G20180,AT5G05965
AT2G20180,AT5G12840
AT2G20180,AT5G13650
AT2G20180,AT5G16800
AT2G20180,AT5G18670
AT2G20180,AT5G66570
AT2G20180,AT5G26600
AT2G20180,AT5G38520
AT2G20180,AT5G50300
AT2G20180,AT5G51990
AT2G20180,AT5G57610
AT2G20180,AT5G24155
AT2G20180,AT1G05360
AT5G67580,AT1G03530
AT5G67580,AT1G10270
AT5G67580,AT1G13870
AT5G67580,AT1G16800
AT5G67580,AT1G23410
AT5G67580,AT1G26900
AT5G67580,AT1G36310
AT5G67580,AT1G56110
AT5G67580,AT1G64600
AT5G67580,AT1G65030
AT5G67580,AT1G72820
AT5G67580,AT1G77390
AT5G67580,AT1G77570
AT5G67580,AT2G05120
AT5G67580,AT2G33090
AT5G67580,AT2G34210
AT5G67580,AT2G34570
AT5G67580,AT2G34900
AT5G67580,AT2G45970
AT5G67580,AT2G47110
AT5G67580,AT2G47990
AT5G67580,AT3G06530
AT5G67580,AT3G07050
AT5G67580,AT3G22700
AT5G67580,AT3G46950
AT5G67580,AT3G55485
AT5G67580,AT3G56990
AT5G67580,AT3G59630
AT5G67580,AT3G62840
AT5G67580,AT4G05400
AT5G67580,AT4G10620
AT5G67580,AT4G12750
AT5G67580,AT4G14560
AT5G67580,AT4G15640
AT5G67580,AT4G26795
AT5G67580,AT4G31150
AT5G67580,AT5G65860
AT5G67580,AT5G06000
AT5G67580,AT5G07310
AT5G67580,AT5G24840
AT5G67580,AT5G26110
AT5G67580,AT5G52100
AT5G67580,AT5G54910
AT5G67580,AT5G62160
AT5G07310,AT1G08840
AT5G07310,AT5G54600
AT5G07310,AT1G14030
AT5G07310,AT1G21610
AT5G07310,AT1G48580
AT5G07310,AT5G48390
AT5G07310,AT1G31360
AT5G07310,AT5G56900
AT5G07310,AT1G55810
AT5G07310,AT1G56180
AT5G07310,AT1G60080
AT5G07310,AT4G14870
AT5G07310,AT3G21755
AT5G07310,AT1G75340
AT5G07310,AT2G24500
AT5G07310,AT2G31920
AT5G07310,AT5G01920
AT5G07310,AT2G46910
AT5G07310,AT3G17300
AT5G07310,AT4G32350
AT5G07310,AT3G29360
AT5G07310,AT3G45880
AT5G07310,AT3G49410
AT5G07310,AT5G61350
AT5G07310,AT3G56570
AT5G07310,AT3G58660
AT5G07310,AT3G61070
AT5G07310,AT3G62800
AT5G07310,AT4G00895
AT5G07310,AT4G01037
AT5G07310,AT4G13500
AT5G07310,AT4G21926
AT5G07310,AT4G24250
AT5G07310,AT5G42630
AT5G07310,AT4G27490
AT5G07310,AT4G28310
AT5G07310,AT4G28550
AT5G07310,AT4G30845
AT5G07310,AT4G31150
AT5G07310,AT4G33467
AT5G07310,AT4G37670
AT5G07310,AT5G09690
AT5G07310,AT5G47430
AT5G07310,AT5G50240
