Id,Label,Type
AT1G01060,AT1G01060,MYB_related
AT1G01100,AT1G01100,other
AT1G01240,AT1G01240,other
AT1G01260,AT1G01260,bHLH
AT1G01550,AT1G01550,other
AT1G01650,AT1G01650,other
AT1G01830,AT1G01830,other
AT1G01940,AT1G01940,other
AT1G02820,AT1G02820,other
AT1G02840,AT1G02840,other
AT1G02860,AT1G02860,other
AT1G02870,AT1G02870,other
AT1G03030,AT1G03030,other
AT1G03070,AT1G03070,other
AT1G03180,AT1G03180,other
AT1G03250,AT1G03250,other
AT1G03290,AT1G03290,other
AT1G03370,AT1G03370,other
AT1G03410,AT1G03410,other
AT1G03470,AT1G03470,other
AT1G03530,AT1G03530,other
AT1G03540,AT1G03540,other
AT1G03620,AT1G03620,other
AT1G03630,AT1G03630,other
AT1G03840,AT1G03840,other
AT1G03905,AT1G03905,other
AT1G03940,AT1G03940,other
AT1G04080,AT1G04080,other
AT1G04130,AT1G04130,other
AT1G04635,AT1G04635,other
AT1G04945,AT1G04945,other
AT1G05360,AT1G05360,other
AT1G05600,AT1G05600,other
AT1G05860,AT1G05860,other
AT1G06135,AT1G06135,other
AT1G06160,AT1G06160,ERF
AT1G06320,AT1G06320,other
AT1G06570,AT1G06570,other
AT1G06780,AT1G06780,other
AT1G06960,AT1G06960,other
AT1G07000,AT1G07000,other
AT1G07119,AT1G07119,other
AT1G07160,AT1G07160,other
AT1G07320,AT1G07320,other
AT1G07500,AT1G07500,other
AT1G07740,AT1G07740,other
AT1G07820,AT1G07820,other
AT1G08090,AT1G08090,other
AT1G08170,AT1G08170,other
AT1G08410,AT1G08410,other
AT1G08450,AT1G08450,other
AT1G08500,AT1G08500,other
AT1G08570,AT1G08570,other
AT1G08840,AT1G08840,other
AT1G09530,AT1G09530,bHLH
AT1G10090,AT1G10090,other
AT1G10270,AT1G10270,other
AT1G10320,AT1G10320,other
AT1G10370,AT1G10370,other
AT1G10760,AT1G10760,other
AT1G10920,AT1G10920,other
AT1G11000,AT1G11000,other
AT1G11390,AT1G11390,other
AT1G11720,AT1G11720,other
AT1G11840,AT1G11840,other
AT1G11925,AT1G11925,other
AT1G11960,AT1G11960,other
AT1G12030,AT1G12030,other
AT1G12500,AT1G12500,other
AT1G12610,AT1G12610,ERF
AT1G12630,AT1G12630,ERF
AT1G12750,AT1G12750,other
AT1G12800,AT1G12800,other
AT1G12845,AT1G12845,other
AT1G13000,AT1G13000,other
AT1G13245,AT1G13245,other
AT1G13390,AT1G13390,other
AT1G13480,AT1G13480,other
AT1G13800,AT1G13800,other
AT1G13860,AT1G13860,other
AT1G13870,AT1G13870,other
AT1G14030,AT1G14030,other
AT1G14345,AT1G14345,other
AT1G14580,AT1G14580,other
AT1G14685,AT1G14685,other
AT1G14820,AT1G14820,other
AT1G14970,AT1G14970,other
AT1G15150,AT1G15150,other
